pre_bfly12(243)=0+j0, index2_re(243)=7, index2_im(243)=7, bfly12(243)=0+j0
pre_bfly12(244)=0+j0, index2_re(244)=7, index2_im(244)=7, bfly12(244)=0+j0
pre_bfly12(245)=0+j0, index2_re(245)=7, index2_im(245)=7, bfly12(245)=0+j0
pre_bfly12(246)=0+j0, index2_re(246)=7, index2_im(246)=7, bfly12(246)=0+j0
pre_bfly12(247)=0+j0, index2_re(247)=7, index2_im(247)=7, bfly12(247)=0+j0
pre_bfly12(248)=0+j0, index2_re(248)=7, index2_im(248)=7, bfly12(248)=0+j0
pre_bfly12(249)=-131072+j0, index2_re(249)=7, index2_im(249)=7, bfly12(249)=-2048+j0
pre_bfly12(250)=0+j0, index2_re(250)=7, index2_im(250)=7, bfly12(250)=0+j0
pre_bfly12(251)=0+j0, index2_re(251)=7, index2_im(251)=7, bfly12(251)=0+j0
pre_bfly12(252)=0+j0, index2_re(252)=7, index2_im(252)=7, bfly12(252)=0+j0
pre_bfly12(253)=0+j0, index2_re(253)=7, index2_im(253)=7, bfly12(253)=0+j0
pre_bfly12(254)=0+j0, index2_re(254)=7, index2_im(254)=7, bfly12(254)=0+j0
pre_bfly12(255)=0+j0, index2_re(255)=7, index2_im(255)=7, bfly12(255)=0+j0
pre_bfly12(256)=0+j0, index2_re(256)=7, index2_im(256)=7, bfly12(256)=0+j0
pre_bfly12(257)=521856+j-768, index2_re(257)=4, index2_im(257)=4, bfly12(257)=1019+j-2
pre_bfly12(258)=524416+j-1280, index2_re(258)=4, index2_im(258)=4, bfly12(258)=1024+j-3
pre_bfly12(259)=524800+j128, index2_re(259)=4, index2_im(259)=4, bfly12(259)=1025+j0
pre_bfly12(260)=523904+j-640, index2_re(260)=4, index2_im(260)=4, bfly12(260)=1023+j-2
pre_bfly12(261)=523392+j-128, index2_re(261)=4, index2_im(261)=4, bfly12(261)=1022+j-1
pre_bfly12(262)=523776+j-512, index2_re(262)=4, index2_im(262)=4, bfly12(262)=1023+j-1
pre_bfly12(263)=523392+j-640, index2_re(263)=4, index2_im(263)=4, bfly12(263)=1022+j-2
pre_bfly12(264)=524672+j0, index2_re(264)=4, index2_im(264)=4, bfly12(264)=1024+j0
pre_bfly12(265)=128+j0, index2_re(265)=13, index2_im(265)=13, bfly12(265)=128+j0
pre_bfly12(266)=296+j-953, index2_re(266)=13, index2_im(266)=13, bfly12(266)=296+j-953
pre_bfly12(267)=-455+j1001, index2_re(267)=13, index2_im(267)=13, bfly12(267)=-455+j1001
pre_bfly12(268)=-1071+j247, index2_re(268)=13, index2_im(268)=13, bfly12(268)=-1071+j247
pre_bfly12(269)=-128+j384, index2_re(269)=13, index2_im(269)=13, bfly12(269)=-128+j384
pre_bfly12(270)=-1434+j-788, index2_re(270)=13, index2_im(270)=13, bfly12(270)=-1434+j-788
pre_bfly12(271)=-1274+j-364, index2_re(271)=13, index2_im(271)=13, bfly12(271)=-1274+j-364
pre_bfly12(272)=-38+j1091, index2_re(272)=13, index2_im(272)=13, bfly12(272)=-38+j1091
pre_bfly12(273)=-2816+j128, index2_re(273)=12, index2_im(273)=12, bfly12(273)=-1408+j64
pre_bfly12(274)=-932+j-77, index2_re(274)=12, index2_im(274)=12, bfly12(274)=-466+j-39
pre_bfly12(275)=688+j-9, index2_re(275)=12, index2_im(275)=12, bfly12(275)=344+j-5
pre_bfly12(276)=1805+j173, index2_re(276)=12, index2_im(276)=12, bfly12(276)=902+j86
pre_bfly12(277)=-1274+j0, index2_re(277)=12, index2_im(277)=12, bfly12(277)=-637+j0
pre_bfly12(278)=1733+j393, index2_re(278)=12, index2_im(278)=12, bfly12(278)=866+j196
pre_bfly12(279)=1013+j559, index2_re(279)=12, index2_im(279)=12, bfly12(279)=506+j279
