twf_m0(196)=125+j-28, pre_bfly02(196)=0+j0, index1_re(196)=15, index1_im(196)=15, bfly02(196)=0+j0
twf_m0(197)=122+j-37, pre_bfly02(197)=0+j0, index1_re(197)=15, index1_im(197)=15, bfly02(197)=0+j0
twf_m0(198)=119+j-46, pre_bfly02(198)=0+j0, index1_re(198)=15, index1_im(198)=15, bfly02(198)=0+j0
twf_m0(199)=116+j-55, pre_bfly02(199)=0+j0, index1_re(199)=15, index1_im(199)=15, bfly02(199)=0+j0
twf_m0(200)=111+j-63, pre_bfly02(200)=0+j0, index1_re(200)=15, index1_im(200)=15, bfly02(200)=0+j0
twf_m0(201)=106+j-71, pre_bfly02(201)=0+j0, index1_re(201)=15, index1_im(201)=15, bfly02(201)=0+j0
twf_m0(202)=101+j-79, pre_bfly02(202)=0+j0, index1_re(202)=15, index1_im(202)=15, bfly02(202)=0+j0
twf_m0(203)=95+j-86, pre_bfly02(203)=0+j0, index1_re(203)=15, index1_im(203)=15, bfly02(203)=0+j0
twf_m0(204)=88+j-93, pre_bfly02(204)=0+j0, index1_re(204)=15, index1_im(204)=15, bfly02(204)=0+j0
twf_m0(205)=81+j-99, pre_bfly02(205)=0+j0, index1_re(205)=15, index1_im(205)=15, bfly02(205)=0+j0
twf_m0(206)=74+j-105, pre_bfly02(206)=0+j0, index1_re(206)=15, index1_im(206)=15, bfly02(206)=0+j0
twf_m0(207)=66+j-110, pre_bfly02(207)=0+j0, index1_re(207)=15, index1_im(207)=15, bfly02(207)=0+j0
twf_m0(208)=58+j-114, pre_bfly02(208)=0+j0, index1_re(208)=15, index1_im(208)=15, bfly02(208)=0+j0
twf_m0(209)=49+j-118, pre_bfly02(209)=0+j0, index1_re(209)=15, index1_im(209)=15, bfly02(209)=0+j0
twf_m0(210)=40+j-122, pre_bfly02(210)=0+j0, index1_re(210)=15, index1_im(210)=15, bfly02(210)=0+j0
twf_m0(211)=31+j-124, pre_bfly02(211)=0+j0, index1_re(211)=15, index1_im(211)=15, bfly02(211)=0+j0
twf_m0(212)=22+j-126, pre_bfly02(212)=0+j0, index1_re(212)=15, index1_im(212)=15, bfly02(212)=0+j0
twf_m0(213)=13+j-127, pre_bfly02(213)=0+j0, index1_re(213)=15, index1_im(213)=15, bfly02(213)=0+j0
twf_m0(214)=3+j-128, pre_bfly02(214)=0+j0, index1_re(214)=15, index1_im(214)=15, bfly02(214)=0+j0
twf_m0(215)=-6+j-128, pre_bfly02(215)=0+j0, index1_re(215)=15, index1_im(215)=15, bfly02(215)=0+j0
twf_m0(216)=-16+j-127, pre_bfly02(216)=0+j0, index1_re(216)=15, index1_im(216)=15, bfly02(216)=0+j0
twf_m0(217)=-25+j-126, pre_bfly02(217)=0+j0, index1_re(217)=15, index1_im(217)=15, bfly02(217)=0+j0
twf_m0(218)=-34+j-123, pre_bfly02(218)=0+j0, index1_re(218)=15, index1_im(218)=15, bfly02(218)=0+j0
twf_m0(219)=-43+j-121, pre_bfly02(219)=0+j0, index1_re(219)=15, index1_im(219)=15, bfly02(219)=0+j0
